,year,month,date_time,mean_temp
563,1887,AUG,1887-08-01,19.0
564,1887,DEC,1887-12-01,-2.3
565,1887,FEB,1887-02-01,-5.9
566,1887,JAN,1887-01-01,-8.0
567,1887,JUL,1887-07-01,22.9
568,1887,JUN,1887-06-01,17.5
569,1887,MAR,1887-03-01,-4.1
570,1887,MAY,1887-05-01,14.6
571,1887,NOV,1887-11-01,1.6
572,1887,OCT,1887-10-01,6.6
573,1887,SEP,1887-09-01,13.6
574,1888,APR,1888-04-01,4.0
575,1888,AUG,1888-08-01,19.1
576,1888,DEC,1888-12-01,-1.5
577,1888,FEB,1888-02-01,-6.0
578,1888,JAN,1888-01-01,-9.6
579,1888,JUL,1888-07-01,19.0
580,1888,JUN,1888-06-01,18.1
581,1888,MAR,1888-03-01,-5.4
582,1888,MAY,1888-05-01,10.6
583,1888,NOV,1888-11-01,3.1
584,1888,OCT,1888-10-01,6.3
585,1888,SEP,1888-09-01,13.7
586,1889,APR,1889-04-01,6.3
587,1889,AUG,1889-08-01,18.7
588,1889,DEC,1889-12-01,1.2
589,1889,FEB,1889-02-01,-8.3
590,1889,JAN,1889-01-01,-2.5
591,1889,JUL,1889-07-01,20.6
592,1889,JUN,1889-06-01,15.8
593,1889,MAR,1889-03-01,0.5
594,1889,MAY,1889-05-01,12.2
595,1889,NOV,1889-11-01,3.7
596,1889,OCT,1889-10-01,6.0
597,1889,SEP,1889-09-01,15.7
598,1890,APR,1890-04-01,5.7
599,1890,AUG,1890-08-01,18.1
600,1890,DEC,1890-12-01,-5.3
601,1890,FEB,1890-02-01,-2.4
602,1890,JAN,1890-01-01,-1.4
603,1890,JUL,1890-07-01,19.8
604,1890,JUN,1890-06-01,18.7
605,1890,MAR,1890-03-01,-2.3
606,1890,MAY,1890-05-01,10.1
607,1890,NOV,1890-11-01,2.8
608,1890,OCT,1890-10-01,9.2
609,1890,SEP,1890-09-01,14.2
610,1891,APR,1891-04-01,6.4
611,1891,AUG,1891-08-01,18.9
612,1891,DEC,1891-12-01,0.8
613,1891,FEB,1891-02-01,-2.4
614,1891,JAN,1891-01-01,-4.9
615,1891,JUL,1891-07-01,17.9
616,1891,JUN,1891-06-01,18.0
617,1891,MAR,1891-03-01,-1.9
618,1891,MAY,1891-05-01,10.8
619,1891,NOV,1891-11-01,2.6
620,1891,OCT,1891-10-01,8.7
621,1891,SEP,1891-09-01,17.3
622,1892,APR,1892-04-01,5.3
623,1892,AUG,1892-08-01,19.8
624,1892,DEC,1892-12-01,-3.6
625,1892,FEB,1892-02-01,-4.4
626,1892,JAN,1892-01-01,-7.0
627,1892,JUL,1892-07-01,20.1
628,1892,JUN,1892-06-01,18.6
629,1892,MAR,1892-03-01,-2.3
630,1892,MAY,1892-05-01,10.9
631,1892,NOV,1892-11-01,1.7
632,1892,OCT,1892-10-01,8.7
633,1892,SEP,1892-09-01,15.7
634,1893,APR,1893-04-01,4.4
635,1893,AUG,1893-08-01,19.3
636,1893,DEC,1893-12-01,-4.7
637,1893,FEB,1893-02-01,-7.6
638,1893,JAN,1893-01-01,-10.0
639,1893,JUL,1893-07-01,20.2
640,1893,JUN,1893-06-01,19.3
641,1893,MAR,1893-03-01,-1.7
642,1893,MAY,1893-05-01,11.1
643,1893,NOV,1893-11-01,2.9
644,1893,OCT,1893-10-01,9.2
645,1893,SEP,1893-09-01,14.1
646,1894,APR,1894-04-01,6.9
647,1894,AUG,1894-08-01,18.6
648,1894,DEC,1894-12-01,-0.4
649,1894,FEB,1894-02-01,-6.5
650,1894,JAN,1894-01-01,-2.1
651,1894,JUL,1894-07-01,20.6
652,1894,JUN,1894-06-01,19.3
653,1894,MAR,1894-03-01,2.1
654,1894,MAY,1894-05-01,11.3
655,1894,NOV,1894-11-01,1.2
656,1894,OCT,1894-10-01,10.2
657,1894,SEP,1894-09-01,17.1
658,1895,APR,1895-04-01,6.3
659,1895,AUG,1895-08-01,18.8
660,1895,DEC,1895-12-01,-1.3
661,1895,FEB,1895-02-01,-8.7
662,1895,JAN,1895-01-01,-6.1
663,1895,JUL,1895-07-01,19.1
664,1895,JUN,1895-06-01,19.9
665,1895,MAR,1895-03-01,-4.4
666,1895,MAY,1895-05-01,13.0
667,1895,NOV,1895-11-01,2.8
668,1895,OCT,1895-10-01,6.1
669,1895,SEP,1895-09-01,16.0
670,1896,APR,1896-04-01,8.0
671,1896,AUG,1896-08-01,19.8
672,1896,DEC,1896-12-01,-2.4
673,1896,FEB,1896-02-01,-5.5
674,1896,JAN,1896-01-01,-5.8
675,1896,JUL,1896-07-01,20.8
676,1896,JUN,1896-06-01,18.1
677,1896,MAR,1896-03-01,-4.9
678,1896,MAY,1896-05-01,15.7
679,1896,NOV,1896-11-01,4.3
680,1896,OCT,1896-10-01,7.2
681,1896,SEP,1896-09-01,14.1
682,1897,APR,1897-04-01,6.3
683,1897,AUG,1897-08-01,18.6
684,1897,DEC,1897-12-01,-2.2
685,1897,FEB,1897-02-01,-4.1
686,1897,JAN,1897-01-01,-5.1
687,1897,JUL,1897-07-01,22.5
